length	length	misc,raw,lengthdep
burstiness	burstiness	burstiness,raw,locdep
max	max	distribution
min	min	misc
mean	mean	location,raw,locdep
hmean	hmean	location,raw,locdep
rms	rms	location,raw,locdep,spreaddep
mode_5	mode_5	location
mode_10	mode_10	location
mode_20	mode_20	location
median	median	location,raw,locdep
iqm	iqm	location,raw,locdep
midhinge	midhinge	location,raw,locdep
trmean1	trmean1	location,raw,locdep
trmean2	trmean2	location,raw,locdep
trmean5	trmean5	location,raw,locdep
trmean10	trmean10	location,raw,locdep
trmean25	trmean25	location,raw,locdep
trmean50	trmean50	location,raw,locdep
std	std	spread,raw,spreaddep
mad	mad	spread,raw,spreaddep
iqr	iqr	spread,raw,spreaddep
mead	mead	spread,raw,spreaddep
mom_3	mom_3	distribution,moment,shape
mom_4	mom_4	distribution,moment,shape
mom_5	mom_5	distribution,moment,shape
mom_6	mom_6	distribution,moment,shape
mom_7	mom_7	distribution,moment,shape
mom_8	mom_8	distribution,moment,shape
mom_9	mom_9	distribution,moment,shape
mom_10	mom_10	distribution,moment,shape
mom_11	mom_11	distribution,moment,shape
rawmom_3	rawmom_3	distribution,moment,shape,raw,spreaddep
rawmom_4	rawmom_4	distribution,moment,shape,raw,spreaddep
rawmom_5	rawmom_5	distribution,moment,shape,raw,spreaddep
rawmom_6	rawmom_6	distribution,moment,shape,raw,spreaddep
rawmom_7	rawmom_7	distribution,moment,shape,raw,spreaddep
rawmom_8	rawmom_8	distribution,moment,shape,raw,spreaddep
rawmom_9	rawmom_9	distribution,moment,shape,raw,spreaddep
rawmom_10	rawmom_10	distribution,moment,shape,raw,spreaddep
rawmom_11	rawmom_11	distribution,moment,shape,raw,spreaddep
skewpear	skewpear	distribution,moment,shape,raw,locdep
skewbowl	skewbowl	distribution,moment,shape
quanp05	quanp05	distribution,spread
quanp1	quanp1	distribution,spread
quanp15	quanp15	distribution,spread
quanp2	quanp2	distribution,spread
quanp25	quanp25	distribution,spread
quanp3	quanp3	distribution,spread
pleft005	pleft005	distribution,spread
pleft01	pleft01	distribution,spread
pleft02	pleft02	distribution,spread
pleft03	pleft03	distribution,spread
pleft04	pleft04	distribution,spread
pleft05	pleft05	distribution,spread
quant1	quant1	distribution
quant2	quant2	distribution
quant3	quant3	distribution
quant4	quant4	distribution
quant5	quant5	distribution
quant10	quant10	distribution
quant20	quant20	distribution
quant30	quant30	distribution
quant40	quant40	distribution
quant50	quant50	distribution
quant60	quant60	distribution
quant70	quant70	distribution
quant80	quant80	distribution
quant90	quant90	distribution
quant91	quant91	distribution
quant92	quant92	distribution
quant93	quant93	distribution
quant94	quant94	distribution
quant95	quant95	distribution
quant96	quant96	distribution
quant97	quant97	distribution
quant98	quant98	distribution
quant99	quant99	distribution
cv1	cv1	spread,cv,raw,locdep,spreaddep
cv2	cv2	spread,cv,raw,locdep,spreaddep
cv3	cv3	spread,cv,raw,locdep,spreaddep
cv4	cv4	spread,cv,raw,locdep,spreaddep
cv5	cv5	spread,cv,raw,locdep,spreaddep
cv6	cv6	spread,cv,raw,locdep,spreaddep
bd	bd	distribution,skewness,raw,locdep,spreaddep
bszcross	bszcross	noisiness
bsmax	bsmax	noisiness
bsmin	bsmin	noisiness
bspmcross	bspmcross	distribution
ST_propsimpzeros	ST_propsimpzeros	raw
ST_propsimpgeq0	ST_propsimpgeq0	raw,locdep
ST_propsimppositive	ST_propsimppositive	raw,locdep
AC_1	AC_1	correlation,autocorrelation
AC_2	AC_2	correlation,autocorrelation
AC_3	AC_3	correlation,autocorrelation
AC_4	AC_4	correlation,autocorrelation
AC_5	AC_5	correlation,autocorrelation
AC_6	AC_6	correlation,autocorrelation
AC_7	AC_7	correlation,autocorrelation
AC_8	AC_8	correlation,autocorrelation
AC_9	AC_9	correlation,autocorrelation
AC_10	AC_10	correlation,autocorrelation
AC_11	AC_11	correlation,autocorrelation
AC_12	AC_12	correlation,autocorrelation
AC_13	AC_13	correlation,autocorrelation
AC_14	AC_14	correlation,autocorrelation
AC_15	AC_15	correlation,autocorrelation
AC_16	AC_16	correlation,autocorrelation
AC_17	AC_17	correlation,autocorrelation
AC_18	AC_18	correlation,autocorrelation
AC_19	AC_19	correlation,autocorrelation
AC_20	AC_20	correlation,autocorrelation
AC_21	AC_21	correlation,autocorrelation
AC_22	AC_22	correlation,autocorrelation
AC_23	AC_23	correlation,autocorrelation
AC_24	AC_24	correlation,autocorrelation
AC_25	AC_25	correlation,autocorrelation
AC_26	AC_26	correlation,autocorrelation
AC_27	AC_27	correlation,autocorrelation
AC_28	AC_28	correlation,autocorrelation
AC_29	AC_29	correlation,autocorrelation
AC_30	AC_30	correlation,autocorrelation
AC_31	AC_31	correlation,autocorrelation
AC_32	AC_32	correlation,autocorrelation
AC_33	AC_33	correlation,autocorrelation
AC_34	AC_34	correlation,autocorrelation
AC_35	AC_35	correlation,autocorrelation
AC_36	AC_36	correlation,autocorrelation
AC_37	AC_37	correlation,autocorrelation
AC_38	AC_38	correlation,autocorrelation
AC_39	AC_39	correlation,autocorrelation
AC_40	AC_40	correlation,autocorrelation
fzcac	fzcac	correlation,tau,autocorrelation
f1ecac	f1ecac	correlation,tau,autocorrelation
firstmin_acf	firstmin_acf	correlation,tau,autocorrelation
AC_nl_12	AC_nl_12	correlation,autocorrelation,nonlinearautocorr
AC_nl_123	AC_nl_123	correlation,autocorrelation,nonlinearautocorr
AC_nl_1234	AC_nl_1234	correlation,autocorrelation,nonlinearautocorr
AC_nl_12345	AC_nl_12345	correlation,autocorrelation,nonlinearautocorr
AC_nl_123456	AC_nl_123456	correlation,autocorrelation,nonlinearautocorr
AC_nl_1234567	AC_nl_1234567	correlation,autocorrelation,nonlinearautocorr
AC_nl_12345678	AC_nl_12345678	correlation,autocorrelation,nonlinearautocorr
AC_nl_13	AC_nl_13	correlation,autocorrelation,nonlinearautocorr
AC_nl_24	AC_nl_24	correlation,autocorrelation,nonlinearautocorr
AC_nl_135	AC_nl_135	correlation,autocorrelation,nonlinearautocorr
AC_nl_246	AC_nl_246	correlation,autocorrelation,nonlinearautocorr
AC_nl_1357	AC_nl_1357	correlation,autocorrelation,nonlinearautocorr
AC_nl_2468	AC_nl_2468	correlation,autocorrelation,nonlinearautocorr
AC_nl_124	AC_nl_124	correlation,autocorrelation,nonlinearautocorr
AC_nl_134	AC_nl_134	correlation,autocorrelation,nonlinearautocorr
AC_nl_14	AC_nl_14	correlation,autocorrelation,nonlinearautocorr
AC_nl_11	AC_nl_11	correlation,autocorrelation,nonlinearautocorr
AC_nl_22	AC_nl_22	correlation,autocorrelation,nonlinearautocorr
AC_nl_33	AC_nl_33	correlation,autocorrelation,nonlinearautocorr
AC_nl_44	AC_nl_44	correlation,autocorrelation,nonlinearautocorr
AC_nl_55	AC_nl_55	correlation,autocorrelation,nonlinearautocorr
AC_nl_66	AC_nl_66	correlation,autocorrelation,nonlinearautocorr
AC_nl_011	AC_nl_011	correlation,autocorrelation,nonlinearautocorr
AC_nl_022	AC_nl_022	correlation,autocorrelation,nonlinearautocorr
AC_nl_033	AC_nl_033	correlation,autocorrelation,nonlinearautocorr
AC_nl_044	AC_nl_044	correlation,autocorrelation,nonlinearautocorr
AC_nl_055	AC_nl_055	correlation,autocorrelation,nonlinearautocorr
AC_nl_066	AC_nl_066	correlation,autocorrelation,nonlinearautocorr
AC_nl_001	AC_nl_001	correlation,autocorrelation,nonlinearautocorr
AC_nl_002	AC_nl_002	correlation,autocorrelation,nonlinearautocorr
AC_nl_003	AC_nl_003	correlation,autocorrelation,nonlinearautocorr
AC_nl_004	AC_nl_004	correlation,autocorrelation,nonlinearautocorr
AC_nl_005	AC_nl_005	correlation,autocorrelation,nonlinearautocorr
AC_nl_006	AC_nl_006	correlation,autocorrelation,nonlinearautocorr
