SourceName,SourceLink,SourceDescription,ProcessingNotes,Added by,Distribute,Parent
SDE Toolbox Simulated,,Simulated outputs from SDEs using SDE Toolbox for MATLAB by Umberto Picchini (freely available at http://sdetoolbox.sourceforge.net),Performed by Ben Fulcher,Ben Fulcher,1,
Ben Fulcher Simulated,,Simulated in the Matlab command line by Ben Fulcher,,Ben Fulcher,1,
SDE Toolbox M1a,,,"Lengths [1000 5000 10000]; via 0:0.01:T-0.01; where T = [10 50 100]
a = [-0.02 0.2]
x0 = [0.01 1]
sigma = [0.2 2]
6 occurances of each combination _[1,2,3,4,5,6]
Evaluated using the Milstein approximation",Ben Fulcher,1,SDE Toolbox Simulated
SDE Toolbox M2a,,,"Lengths [1000 5000 10000]; via 0:0.01:T-0.01; where T=[10 50 100]
a = [-0.1]
b = [-1 1]
x0=[0.01]
sigma = [0.2]
6 occurances of each combination _[1,2,3,4,5,6]
TRANSIENT REMOVED: eta=500
Instances created independently
Evaluated using the Milstein approximation",Ben Fulcher,1,SDE Toolbox Simulated
SDE Toolbox M3a,,,"Lengths [1000 5000 10000]; via 0:0.01:T-0.01; where T=[10 50 100]
a = [0.1]
x0=[1]
sigma = [0.1 1 2]
6 occurances of each combination _[1,2,3,4,5,6]
Occurances created independently
Transient kept (eta=0)
Evaluated using the Milstein approximation",Ben Fulcher,1,SDE Toolbox Simulated
SDE Toolbox M5a,,,"Lengths [1000 5000 10000]; via 0:0.01:T-0.01; where T=[10 50 100]
a = [-0.01 0 0.01]
b = [-0.6 -0.2 0.2 0.6]
c = [-0.1 0 0.1]
d = [-0.1 0 0.1]
x0 = [1]
6 occurances of each combination _[1,2,3,4,5,6]
Evaluated using the Milstein approximation",Ben Fulcher,1,SDE Toolbox Simulated
SDE Toolbox M6a,,,"Lengths [1000 5000 10000]; via 0:0.01:T-0.01; where T = [10 50 100]
a = [1 2.5 5 10]
x0 = [1]
6 occurances of each combination _[1,2,3,4,5,6]
I take the norm of any complex entries
Evaluated using the Milstein approximation",Ben Fulcher,1,SDE Toolbox Simulated
SDE Toolbox M7a,,,"Lengths [1000 5000 10000]; via 0:0.01:T-0.01; where T=[10 50 100]
a = [2 4 6 8 10]
x0=[1]
6 occurances of each combination _[1,2,3,4,5,6]
I take the magnitude (complex numbers)
I have had to take single occurances to stop overlapping (from using the same random seed)
Evaluated using the Milstein approximation",Ben Fulcher,1,SDE Toolbox Simulated
SDE Toolbox M8a,,,"Lengths [1000 5000 10000]; via 0:0.01:T-0.01; where T = [10 50 100]
a = [-0.3 -0.2 -0.1 -0.05 0.05 0.1 0.2 0.3]
x0 = [1]
6 occurances of each combination _[1,2,3,4,5,6]
The occurances seem to be dependent  -- I've had to do an 
Itertive version with single occurances...
Only keep the solutions that don't blow up
Tries 50 times to get a bounded solution otherwise gives up and moves on
(thus sometimes there are less than 6 occurance of each system)
Evaluated using the Milstein approximation",Ben Fulcher,1,SDE Toolbox Simulated
SDE Toolbox M10a,,,"Lengths [1000 5000 10000]; via 0:0.01:T-0.01; where T=[10 50 100]
a = [0.1 1 10]
b = [0.1 1 10]
sigma = [0.1 1]
x0=[1]
6 occurances of each combination _[1,2,3,4,5,6]
Instances created independently
Transient removed -- eta = 500
Evaluated using the Milstein approximation",Ben Fulcher,1,SDE Toolbox Simulated
Gaussian noise simple,,"Initial, simple treatment of noise",Using randn function in Matlab's Statistics Toolbox,Ben Fulcher,1,
Uniform noise simple,,"Initial, simple treatment of noise",Using rand function in Matlab's Statistics Toolbox,Ben Fulcher,1,
Gamma noise simple,,"Initial, simple treatment of noise",Using randg function in Matlab's Statistics Toolbox,Ben Fulcher,1,
Exponential noise simple,,"Initial, simple treatment of noise",Using exprnd function in Matlab's Statistics Toolbox,Ben Fulcher,1,
Poisson noise simple,,"Initial, simple treatment of noise",Using poissrnd function in Matlab's Statistics Toolbox,Ben Fulcher,1,
Random walk,,,"(cf. randomwalks.m)
Done for L = [1000 5000 7500 10000 20000]
With 20 instances of each
In this version, each series is independent, unlike the AR and MA versions where the longer ones were just longer versions of the shorter ones.",Ben Fulcher,1
Beta noise Matlab,,Generated using 'betarnd' from Matlab's Statistics Toolbox,"Range of lengths L=[1000 5000 10000]
a = [0.5 1 2 3 4 5 10]
b = [0.5 1 2 3 4 5 10]
Two occurances of each combination: '_1', '_2'",Ben Fulcher,1
Binomial noise Matlab,,Generated using `binornd' from Matlab's Statistics Toolbox,"Range of lengths L=[1000 5000 10000]
n = [20 50 200]
p = [0.05 0.5 0.95]
Two occurances of each combination: '_1', '_2'",Ben Fulcher,1
Chi-squared noise Matlab,,Generated using `chi2rnd' from Matlab's Statistics Toolbox,"Range of lengths L=[1000 5000 10000]
nu = [1 2 3 4 5 20 50 200]
Two occurances of each combination: '_1', '_2'",Ben Fulcher,1
Extreme value noise Matlab,,Generated using `evrnd' from Matlab's Statistics Toolbox,"Range of lengths L=[1000 5000 10000]
mu = [0]
sigma = [1 10]
Three occurances of each combination: '_1', '_2', '_3'",Ben Fulcher,1
F noise Matlab,,Generated using `frnd' from Matlab's Statistics Toolbox,"Range of lengths L = [1000 5000 10000]
nu1 = [5 50 100]
nu2 = [5 50 100]
Two occurances of each combination: '_1', '_2'",Ben Fulcher,1
Geometric noise Matlab,,Generated using `geornd' from Matlab's Statistics Toolbox,"Range of lengths L=[1000 5000 10000]
p = [0.01 0.1 0.2]
Two occurances of each combination: '_1', '_2'",Ben Fulcher,1
Gamma noise Matlab,,Generated using `gamrnd' from Matlab's Statistics Toolbox,"Range of lengths L=[1000 5000 10000]
a = [1 10]
b = [0.2 2]
Two occurances of each combination: '_1', '_2'",Ben Fulcher,1
Generalized Extreme Value noise Matlab,,Generated using `gevrnd' from Matlab's Statistics Toolbox,"Range of lengths L = [1000 5000 10000]
k = [0.01 0.1 0.3]
sigma = [1 100]
mu = [0]
Two occurances of each combination: '_1', '_2'",Ben Fulcher,1
Generalized Pareto random numbers Matlab,,Generated using `gprnd' from Matlab's Statistics Toolbox,"Range of lengths L = [1000 5000 10000]
k = [0.01 0.2]
sigma = [10 100]
theta = [0]
Two occurances of each combination: '_1', '_2'",Ben Fulcher,1
Hypergeometric noise Matlab,,Generated using `hygernd' from Matlab's Statistics Toolbox,"Range of lengths L = [1000 5000 10000]
M = [0.01 0.1 0.3]
K = [1 100]
N = [0]
Once occurance of each combination",Ben Fulcher,1
Log-Normal noise Matlab,,Generated using `lognrnd' from Matlab's Statistics Toolbox,"Range of lengths L = [1000 5000 10000]
mu = [0]
sigma = [0.1 0.4 0.8]
Two occurances of each combination: '_1', '_2'",Ben Fulcher,1
Gaussian noise Matlab,,Generated using `normrnd' from Matlab's Statistics Toolbox,"Range of lengths L = [1000 5000 10000]
mu = [0]
sigma = [1 10]
Five occurances of each combination: '_1', '_2', ... '_5'",Ben Fulcher,1
Poisson noise Matlab,,Generated using `poissrnd' in Matlab's Statistics Toolbox,"Range of lengths L = [1000 5000 10000]
lambda = [0.1 1 10]
Three occurances of each combination: '_1', '_2', '_3'",Ben Fulcher,1
Rayleigh noise Matlab,,Generated using `raylrnd' in Matlab's Statistics Toolbox,"Range of lengths L = [1000 5000 10000]
b = [0.1 1 10]
Two occurances of each combination: '_1', '_2'",Ben Fulcher,1
T noise Matlab,,Generated using `trnd' in Matlab's Statistics Toolbox,"Range of lengths L = [1000 5000 10000]
nu = [2 5 50]
Two occurances of each combination: '_1', '_2'",Ben Fulcher,1
Discrete uniform noise Matlab,,Generated using `unidrnd' in Matlab's Statistics Toolbox,"Range of lengths L = [1000 5000 10000]
N = [50]
Three occurances of each combination: '_1', '_2', '_3'",Ben Fulcher,1
Continuous uniform noise Matlab,,Generated using `unifrnd' from Matlab's Statistics Toolbox,"Range of lengths L = [1000 5000 10000]
a = 0
b = 10
Three occurances of each combination: '_1', '_2', '_3'",Ben Fulcher,1
Weibull noise Matlab,,Generated using `wblrnd',"Range of lengths L = [1000 5000 10000]
a = [1 10]
b = [0.5 1 10 100]
Two occurances of each combination: '_1', '_2'",Ben Fulcher,1
Exponential noise Matlab,,Generated using `exprnd',"Range of lengths L = [1000 5000 10000]
lambda = [0.01 0.1 1 10 100]
Two occurances of each combination: '_1', '_2'",Ben Fulcher,1
Keogh Time-series Tutorial,http://www.cs.ucr.edu/~eamonn/tutorials.html then follow the link to tutorial data file (http://www.cs.ucr.edu/~eamonn/Keogh_Time_Series_CDrom.zip),Agglomeration of various sources,,Ben Fulcher,
Time-Series Data Library,http://datamarket.com/data/list/?q=provider:tsdl,"Time-Series Data Library by Hyndman, R.J.",,Ben Fulcher,3
Google trends,http://www.google.com/trends,Time series of the volume of certain keywords searched for on Google,Time series exported as 'CSV with relative scaling' with the search term given in the filename,Ben Fulcher,2
Eric Weeks,http://www.physics.emory.edu/~weeks/research/tseries1.html,Eric Weeks (Emory) time-series data,,Ben Fulcher,3
Logistic map simple,,A simple early attempt to implement,,Ben Fulcher,1
Assymetric Logistic map simple,,A simple early attempt to implement,,Ben Fulcher,1
Henon map simple,,A simple early attempt to implement,,Ben Fulcher,1
Lozi map simple,,A simple early attempt to implement,,Ben Fulcher,1
Tinkerbell map simple,,A simple early attempt to implement,,Ben Fulcher,1
Lorenz Ben,,,"Using normal parameters for chaos and removing the initial transient
For each of the x-, y-, and z- co-ordinates
<x>: the co-ordinate
<L>: the timespan of the run
<N>: the number of sampling points/length of the time series",Ben Fulcher,1
Duffing Ben,,,Two dynamical regimes: (i) nonstationary: decaying from outside the wells; also (ii) growing from inside a well,Ben Fulcher,1
Rossler Ben,,,"With a=b=0.2, c=4.0, initial condition (0,0,0)
Also with c=5.5, period doubled, c=5.6, close to chaos, c=5.7, 
Removes the transient with eta=500.
First is length of time series
Second is number of sampling points
For x,y,z in each case",Ben Fulcher,1
Van der Pol Ben,,,"Van der pol, undriven, varying b=1,2,3.
Initial condition y=1, y'=0.",Ben Fulcher,1
Driven pendulum Ben,,,"b=[0 0.05] A=[0 0.3 0.6 0.9] Omega=[0.35 0.7 1.05]
L=[20000 80000 160000] N=[1000 5000 10000]
IC: y=2, y'=0
Intitial transient (of time length 800) is removed.",Ben Fulcher,1
Driven harmonic oscillator Ben,,,"All have damping term b=0
Natural frequency omega [0.35 0.6 1.1]
Driving amplitude A [0.3 0.6 0.9 1.2]
Driving frequency Omega [0.35 0.7 1.05]
Initial condition y=2 y'=0
Transient removed (until t=500)",Ben Fulcher,1
Jerk 1 Ben,,,"Vary the parameter A for fixed length and sampling.
Initial condition: x=0, x'=0, x''=0.1",Ben Fulcher,1
Jerk 2 Ben,,,"Vary the parameter A for fixed length and sampling.
Initial condition: x=0, x'=0, x''=0.1",Ben Fulcher,1
Sprott 3D Flow A Ben,,,"Initial condition x=0.05, y=0.05, z=0.05
Initial transient removed: eta=200",Ben Fulcher,1
Sprott 3D Flow B Ben,,,"Initial condition x=0.05, y=0.05, z=0.05
Initial transient removed: eta=200",Ben Fulcher,1
Sprott 3D Flow C Ben,,,"Initial condition x=0.05, y=0.05, z=0.05
Initial transient removed: eta=200",Ben Fulcher,1
