Filename	Keywords							
SY_sine_i.dat	"synthetic,periodic,1sine"							
SY_sine_ii.dat	"synthetic,periodic,1sine"							
SY_sine_iii.dat	"synthetic,periodic,1sine"							
SY_sine_iv.dat	"synthetic,periodic,1sine"							
SY_sine_v.dat	"synthetic,periodic,1sine"							
SY_sumsine_2_1.dat	"synthetic,periodic,2sine"							
SY_sumsine_2_2.dat	"synthetic,periodic,2sine"							
SY_sumsine_2_3.dat	"synthetic,periodic,2sine"							
SY_sumsine_2_4.dat	"synthetic,periodic,2sine"							
SY_sumsine_2_5.dat	"synthetic,periodic,2sine"							
SY_sumsine_2_6.dat	"synthetic,periodic,2sine"							
SY_sumsine_2_7.dat	"synthetic,periodic,2sine"							
SY_sumsine_2_8.dat	"synthetic,periodic,2sine"							
SY_sumsine_2_9.dat	"synthetic,periodic,2sine"							
SY_sumsine_3_1.dat	"synthetic,periodic,3sine"							
SY_sumsine_3_2.dat	"synthetic,periodic,3sine"
SY_sumsine_3_3.dat	"synthetic,periodic,3sine"
SY_sumsine_3_4.dat	"synthetic,periodic,3sine"
SY_sumsine_3_5.dat	"synthetic,periodic,3sine"
SY_sumsine_3_6.dat	"synthetic,periodic,3sine"
SY_sumsine_3_7.dat	"synthetic,periodic,3sine"
SY_sumsine_3_8.dat	"synthetic,periodic,3sine"
SY_sumsine_3_9.dat	"synthetic,periodic,3sine"
SY_fsine_3.dat	"synthetic,periodic,1sine"
SY_fsine_5.dat	"synthetic,periodic,1sine"
SY_fsine_8.dat	"synthetic,periodic,1sine"
SY_fsine_10.dat	"synthetic,periodic,1sine"
SY_fsine_15.dat	"synthetic,periodic,1sine"
SY_fsine_20.dat	"synthetic,periodic,1sine"
SY_fsine_50.dat	"synthetic,periodic,1sine"
SY_fsine_100.dat	"synthetic,periodic,1sine"
SY_fsine_250.dat	"synthetic,periodic,1sine"
SY_fsine_500.dat	"synthetic,periodic,1sine"
SY_Caotorus_10_10000_0.1.dat	"synthetic,periodic,2sine,lownoise"
SY_Caotorus_10_10000_0.5.dat	"synthetic,periodic,2sine,noisy"
