time_iso8601,forks_cumulative
2016-02-02 00:00:00+00:00,1
2016-05-19 00:00:00+00:00,3
2016-06-04 00:00:00+00:00,4
2016-06-13 00:00:00+00:00,5
2016-08-15 00:00:00+00:00,6
2016-10-08 00:00:00+00:00,7
2016-10-12 00:00:00+00:00,8
2016-11-01 00:00:00+00:00,9
2016-11-17 00:00:00+00:00,10
2016-11-23 00:00:00+00:00,11
2016-12-20 00:00:00+00:00,13
2016-12-30 00:00:00+00:00,14
2017-01-01 00:00:00+00:00,15
2017-03-09 00:00:00+00:00,16
2017-03-17 00:00:00+00:00,17
2017-03-26 00:00:00+00:00,18
2017-04-28 00:00:00+00:00,19
2017-05-04 00:00:00+00:00,20
2017-05-06 00:00:00+00:00,21
2017-05-16 00:00:00+00:00,23
2017-05-23 00:00:00+00:00,24
2017-06-23 00:00:00+00:00,25
2017-07-06 00:00:00+00:00,26
2017-07-14 00:00:00+00:00,27
2017-08-04 00:00:00+00:00,28
2017-08-08 00:00:00+00:00,29
2017-08-23 00:00:00+00:00,30
2017-08-28 00:00:00+00:00,31
2017-09-04 00:00:00+00:00,32
2017-09-12 00:00:00+00:00,33
2017-09-19 00:00:00+00:00,34
2017-09-26 00:00:00+00:00,35
2017-09-29 00:00:00+00:00,36
2017-10-04 00:00:00+00:00,37
2017-10-23 00:00:00+00:00,38
2017-10-24 00:00:00+00:00,39
2017-10-26 00:00:00+00:00,40
2017-11-06 00:00:00+00:00,41
2017-11-08 00:00:00+00:00,42
2017-11-14 00:00:00+00:00,43
2017-11-23 00:00:00+00:00,44
2017-11-24 00:00:00+00:00,45
2017-11-29 00:00:00+00:00,46
2018-01-03 00:00:00+00:00,47
2018-01-04 00:00:00+00:00,48
2018-01-07 00:00:00+00:00,49
2018-01-31 00:00:00+00:00,50
2018-02-01 00:00:00+00:00,51
2018-02-08 00:00:00+00:00,52
2018-02-10 00:00:00+00:00,53
2018-03-16 00:00:00+00:00,54
2018-03-25 00:00:00+00:00,55
2018-03-29 00:00:00+00:00,56
2018-04-02 00:00:00+00:00,58
2018-04-20 00:00:00+00:00,59
2018-05-06 00:00:00+00:00,60
2018-05-14 00:00:00+00:00,61
2018-05-23 00:00:00+00:00,62
2018-05-25 00:00:00+00:00,63
2018-06-14 00:00:00+00:00,64
2018-06-25 00:00:00+00:00,65
2018-06-26 00:00:00+00:00,66
2018-06-27 00:00:00+00:00,67
2018-07-04 00:00:00+00:00,68
2018-07-20 00:00:00+00:00,70
2018-08-06 00:00:00+00:00,72
2018-08-07 00:00:00+00:00,73
2018-08-11 00:00:00+00:00,74
2018-08-16 00:00:00+00:00,75
2018-09-14 00:00:00+00:00,76
2018-09-24 00:00:00+00:00,77
2018-09-28 00:00:00+00:00,78
2018-10-05 00:00:00+00:00,80
2018-10-24 00:00:00+00:00,81
2018-11-12 00:00:00+00:00,82
2018-11-18 00:00:00+00:00,83
2018-11-27 00:00:00+00:00,84
2018-12-17 00:00:00+00:00,85
2018-12-24 00:00:00+00:00,86
2019-01-22 00:00:00+00:00,87
2019-02-05 00:00:00+00:00,88
2019-02-11 00:00:00+00:00,89
2019-02-25 00:00:00+00:00,90
2019-03-08 00:00:00+00:00,91
2019-03-20 00:00:00+00:00,92
2019-03-22 00:00:00+00:00,93
2019-03-26 00:00:00+00:00,95
2019-03-27 00:00:00+00:00,96
2019-04-04 00:00:00+00:00,97
2019-04-10 00:00:00+00:00,98
2019-04-11 00:00:00+00:00,99
2019-04-12 00:00:00+00:00,100
2019-04-15 00:00:00+00:00,102
2019-04-24 00:00:00+00:00,103
2019-05-08 00:00:00+00:00,104
2019-05-29 00:00:00+00:00,105
2019-06-01 00:00:00+00:00,106
2019-06-05 00:00:00+00:00,107
2019-06-11 00:00:00+00:00,108
2019-06-24 00:00:00+00:00,109
2019-07-24 00:00:00+00:00,110
2019-08-04 00:00:00+00:00,111
2019-08-14 00:00:00+00:00,112
2019-08-16 00:00:00+00:00,113
2019-09-12 00:00:00+00:00,114
2019-10-03 00:00:00+00:00,115
2019-10-29 00:00:00+00:00,117
2019-10-30 00:00:00+00:00,118
2019-11-07 00:00:00+00:00,119
2019-11-08 00:00:00+00:00,120
2019-11-14 00:00:00+00:00,121
2019-12-11 00:00:00+00:00,122
2020-01-07 00:00:00+00:00,123
2020-01-08 00:00:00+00:00,124
2020-01-17 00:00:00+00:00,125
2020-02-16 00:00:00+00:00,126
2020-02-17 00:00:00+00:00,127
2020-03-13 00:00:00+00:00,128
2020-03-23 00:00:00+00:00,130
2020-03-27 00:00:00+00:00,132
2020-03-28 00:00:00+00:00,133
2020-04-01 00:00:00+00:00,134
2020-04-24 00:00:00+00:00,135
2020-05-11 00:00:00+00:00,136
2020-05-13 00:00:00+00:00,137
2020-05-19 00:00:00+00:00,138
2020-05-28 00:00:00+00:00,139
2020-05-29 00:00:00+00:00,141
2020-06-07 00:00:00+00:00,142
2020-06-10 00:00:00+00:00,143
2020-06-15 00:00:00+00:00,144
2020-06-16 00:00:00+00:00,145
2020-06-29 00:00:00+00:00,146
2020-07-12 00:00:00+00:00,147
2020-07-15 00:00:00+00:00,148
2020-07-26 00:00:00+00:00,149
2020-07-29 00:00:00+00:00,150
2020-08-01 00:00:00+00:00,151
2020-08-13 00:00:00+00:00,152
2020-08-27 00:00:00+00:00,153
2020-08-31 00:00:00+00:00,154
2020-10-04 00:00:00+00:00,155
2020-10-09 00:00:00+00:00,156
2020-10-11 00:00:00+00:00,157
2020-10-15 00:00:00+00:00,158
2020-10-16 00:00:00+00:00,159
2020-10-20 00:00:00+00:00,160
2020-10-28 00:00:00+00:00,161
2020-11-20 00:00:00+00:00,162
2020-11-21 00:00:00+00:00,163
2020-12-14 00:00:00+00:00,164
2020-12-20 00:00:00+00:00,165
2020-12-21 00:00:00+00:00,166
2021-01-05 00:00:00+00:00,168
2021-01-08 00:00:00+00:00,169
2021-01-10 00:00:00+00:00,170
2021-01-11 00:00:00+00:00,171
2021-01-18 00:00:00+00:00,172
