time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-14 00:00:00+00:00,8.0,4.0,73,14
2023-10-15 00:00:00+00:00,2.0,2.0,186,16
2023-10-16 00:00:00+00:00,7.0,3.0,140,25
2023-10-17 00:00:00+00:00,8.0,3.0,80,25
2023-10-18 00:00:00+00:00,1.0,1.0,248,33
2023-10-19 00:00:00+00:00,6.0,2.0,110,22
2023-10-20 00:00:00+00:00,6.0,2.0,94,21
2023-10-21 00:00:00+00:00,1.0,1.0,35,13
2023-10-22 00:00:00+00:00,7.0,3.0,296,6
2023-10-23 00:00:00+00:00,9.0,5.0,190,25
2023-10-24 00:00:00+00:00,2.0,2.0,114,32
2023-10-25 00:00:00+00:00,9.0,5.0,92,25
2023-10-26 00:00:00+00:00,7.0,3.0,51,24
2023-10-27 00:00:00+00:00,,,129,21
