time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-15 00:00:00+00:00,0,0,49,13
2023-09-16 00:00:00+00:00,6,2,18,7
2023-09-17 00:00:00+00:00,1,1,7,7
2023-09-18 00:00:00+00:00,5,1,50,24
2023-09-19 00:00:00+00:00,5,1,61,16
2023-09-20 00:00:00+00:00,0,0,35,20
2023-09-21 00:00:00+00:00,5,1,55,17
2023-09-22 00:00:00+00:00,7,3,61,19
2023-09-23 00:00:00+00:00,0,0,23,10
2023-09-24 00:00:00+00:00,5,1,13,7
2023-09-25 00:00:00+00:00,10,5,124,24
2023-09-26 00:00:00+00:00,6,2,74,25
2023-09-27 00:00:00+00:00,1,1,47,18
2023-09-28 00:00:00+00:00,5,1,51,20
2023-09-29 00:00:00+00:00,18,5,116,20
2023-09-30 00:00:00+00:00,1,1,18,9
2023-10-01 00:00:00+00:00,6,2,102,7
2023-10-02 00:00:00+00:00,11,6,108,19
2023-10-03 00:00:00+00:00,2,2,36,13
2023-10-04 00:00:00+00:00,9,4,68,19
2023-10-05 00:00:00+00:00,8,3,77,20
2023-10-06 00:00:00+00:00,4,4,53,11
2023-10-07 00:00:00+00:00,10,4,58,7
2023-10-08 00:00:00+00:00,7,3,18,9
2023-10-09 00:00:00+00:00,5,5,83,23
2023-10-10 00:00:00+00:00,10,3,60,9
